"sample","n_individuos"
"planta_805",92
"planta_806",0
"planta_807",1
"planta_808",0
"planta_809",0
"planta_810",0
"planta_811",0
"planta_812",0
"planta_813",1
"planta_814",0
"planta_815",0
"planta_816",0
"planta_817",0
"planta_818",0
"planta_819",3
"planta_820",0
"planta_821",0
"planta_822",1
"planta_823",3
"planta_824",0
"planta_825",0
"planta_826",74
"planta_827",0
"planta_828",1
"planta_829",0
"planta_830",0
"planta_831",0
"planta_832",0
"planta_833",0
"planta_834",0
"planta_835",0
"planta_836",0
"planta_837",0
"planta_838",2
"planta_839",0
"planta_840",0
"planta_841",16
"planta_842",0
"planta_843",44
"planta_844",12
"planta_845",0
"planta_846",0
"planta_847",0
"planta_848",10
"planta_849",0
"planta_850",2
"planta_851",0
"planta_852",0
"planta_853",124
"planta_854",0
"planta_855",0
"planta_856",0
"planta_857",0
"planta_858",0
"planta_859",0
"planta_860",0
"planta_861",0
"planta_862",1
"planta_863",0
"planta_864",0
"planta_865",80
"planta_866",0
"planta_867",0
"planta_868",0
"planta_869",0
"planta_870",0
"planta_871",0
"planta_872",0
"planta_873",0
"planta_874",0
"planta_875",0
"planta_876",83
"planta_877",0
"planta_878",15
"planta_879",43
"planta_880",26
"planta_881",0
"planta_882",3
"planta_883",0
"planta_884",0
"planta_885",0
"planta_886",0
"planta_887",0
"planta_888",0
"planta_889",0
"planta_890",0
"planta_891",4
"planta_892",1
"planta_893",28
"planta_894",0
"planta_895",0
"planta_896",0
"planta_897",0
"planta_898",0
"planta_899",0
"planta_900",5
"planta_901",0
"planta_902",0
"planta_903",0
"planta_904",24
"planta_905",0
"planta_906",0
"planta_907",0
"planta_908",0
"planta_909",0
"planta_910",1
"planta_911",0
"planta_912",9
"planta_913",0
"planta_914",0
"planta_915",2
"planta_916",0
"planta_917",0
"planta_918",0
"planta_919",132
"planta_920",74
"planta_921",0
"planta_922",0
"planta_923",0
"planta_924",7
"planta_925",0
"planta_926",0
"planta_927",0
"planta_928",0
"planta_929",14
"planta_930",0
"planta_931",0
"planta_932",0
"planta_933",0
"planta_934",32
"planta_935",0
"planta_936",0
"planta_937",0
"planta_938",0
"planta_939",0
"planta_940",0
"planta_941",1
"planta_942",0
"planta_943",0
"planta_944",0
"planta_945",0
"planta_946",0
"planta_947",0
"planta_948",7
"planta_949",22
"planta_950",42
"planta_951",0
"planta_952",0
"planta_953",0
"planta_954",4
"planta_955",0
"planta_956",0
"planta_957",0
"planta_958",0
"planta_959",0
"planta_960",0
"planta_961",0
"planta_962",0
"planta_963",0
"planta_964",22
"planta_965",2
"planta_966",0
"planta_967",0
"planta_968",12
"planta_969",0
"planta_970",34
"planta_971",0
"planta_972",0
"planta_973",32
"planta_974",0
"planta_975",0
"planta_976",0
"planta_977",0
"planta_978",4
"planta_979",11
"planta_980",0
"planta_981",0
"planta_982",0
"planta_983",0
"planta_984",0
"planta_985",0
"planta_986",0
"planta_987",0
"planta_988",0
"planta_989",24
"planta_990",0
"planta_991",19
"planta_992",14
"planta_993",0
"planta_994",0
"planta_995",2
"planta_996",0
"planta_997",0
"planta_998",0
"planta_999",0
"planta_1000",4
"planta_1001",0
"planta_1002",0
"planta_1003",0
"planta_1004",0
"planta_1005",0
"planta_1006",0
"planta_1007",0
"planta_1008",0
"planta_1009",0
"planta_1010",0
"planta_1011",2
"planta_1012",0
"planta_1013",0
"planta_1014",32
"planta_1015",0
"planta_1016",0
"planta_1017",0
"planta_1018",0
"planta_1019",1
"planta_1020",1
"planta_1021",0
"planta_1022",1
"planta_1023",0
"planta_1024",0
"planta_1025",0
"planta_1026",0
"planta_1027",0
"planta_1028",0
"planta_1029",0
"planta_1030",0
"planta_1031",0
"planta_1032",0
"planta_1033",0
"planta_1034",19
"planta_1035",0
"planta_1036",0
"planta_1037",0
"planta_1038",0
"planta_1039",76
"planta_1040",2
"planta_1041",93
"planta_1042",45
"planta_1043",10
"planta_1044",0
"planta_1045",0
"planta_1046",0
"planta_1047",0
"planta_1048",36
"planta_1049",0
"planta_1050",0
"planta_1051",0
"planta_1052",8
"planta_1053",0
"planta_1054",0
"planta_1055",0
"planta_1056",0
"planta_1057",0
"planta_1058",0
"planta_1059",0
"planta_1060",1
"planta_1061",0
"planta_1062",0
"planta_1063",0
"planta_1064",0
"planta_1065",2
"planta_1066",0
"planta_1067",98
"planta_1068",0
"planta_1069",0
"planta_1070",0
"planta_1071",1
"planta_1072",0
"planta_1073",3
"planta_1074",0
"planta_1075",0
"planta_1076",11
"planta_1077",29
"planta_1078",0
"planta_1079",0
"planta_1080",47
"planta_1081",8
"planta_1082",0
"planta_1083",0
"planta_1084",32
"planta_1085",3
"planta_1086",3
"planta_1087",3
"planta_1088",2
"planta_1089",0
"planta_1090",0
"planta_1091",0
"planta_1092",0
"planta_1093",9
"planta_1094",12
"planta_1095",11
"planta_1096",0
"planta_1097",8
"planta_1098",0
"planta_1099",43
"planta_1100",73
"planta_1101",0
"planta_1102",7
"planta_1103",1
"planta_1104",26
"planta_1105",1
"planta_1106",0
"planta_1107",1
"planta_1108",0
"planta_1109",1
"planta_1110",10
"planta_1111",0
"planta_1112",1
"planta_1113",4
"planta_1114",3
"planta_1115",64
"planta_1116",23
"planta_1117",0
"planta_1118",24
"planta_1119",0
"planta_1120",0
"planta_1121",0
"planta_1122",39
"planta_1123",0
"planta_1124",3
"planta_1125",0
"planta_1126",1
"planta_1127",0
"planta_1128",0
"planta_1129",0
"planta_1130",28
"planta_1131",0
"planta_1132",1
"planta_1133",7
"planta_1134",3
"planta_1135",0
"planta_1136",62
"planta_1137",21
"planta_1138",0
"planta_1139",0
"planta_1140",0
"planta_1141",0
"planta_1142",2
"planta_1143",1
"planta_1144",0
"planta_1145",1
"planta_1146",65
"planta_1147",0
"planta_1148",0
"planta_1149",0
"planta_1150",0
"planta_1151",20
"planta_1152",11
"planta_1153",0
"planta_1154",0
"planta_1155",0
"planta_1156",52
"planta_1157",5
"planta_1158",0
"planta_1159",3
"planta_1160",0
"planta_1161",2
"planta_1162",0
"planta_1163",16
"planta_1164",2
"planta_1165",0
"planta_1166",0
"planta_1167",0
"planta_1168",0
"planta_1169",0
"planta_1170",1
"planta_1171",0
"planta_1172",0
"planta_1173",0
"planta_1174",0
"planta_1175",1
"planta_1176",0
"planta_1177",0
"planta_1178",4
"planta_1179",0
"planta_1180",0
"planta_1181",0
"planta_1182",5
"planta_1183",0
"planta_1184",1
"planta_1185",0
"planta_1186",0
"planta_1187",3
"planta_1188",0
"planta_1189",0
"planta_1190",0
"planta_1191",24
"planta_1192",0
"planta_1193",0
"planta_1194",0
"planta_1195",0
"planta_1196",0
"planta_1197",0
"planta_1198",18
"planta_1199",0
"planta_1200",2
"planta_1201",1
"planta_1202",1
"planta_1203",0
"planta_1204",0
"planta_1205",5
"planta_1206",0
"planta_1207",1
"planta_1208",0
"planta_1209",113
"planta_1210",0
"planta_1211",0
"planta_1212",7
"planta_1213",0
"planta_1214",0
"planta_1215",0
"planta_1216",0
"planta_1217",0
"planta_1218",0
"planta_1219",21
"planta_1220",0
"planta_1221",0
"planta_1222",0
"planta_1223",0
"planta_1224",1
"planta_1225",18
"planta_1226",0
"planta_1227",0
"planta_1228",45
"planta_1229",0
"planta_1230",0
"planta_1231",0
"planta_1232",0
"planta_1233",1
"planta_1234",0
"planta_1235",0
"planta_1236",0
"planta_1237",1
"planta_1238",0
"planta_1239",0
"planta_1240",0
"planta_1241",0
"planta_1242",0
"planta_1243",156
"planta_1244",0
"planta_1245",0
"planta_1246",0
"planta_1247",0
"planta_1248",0
"planta_1249",1
"planta_1250",0
"planta_1251",0
"planta_1252",3
"planta_1253",0
"planta_1254",0
"planta_1255",0
"planta_1256",0
"planta_1257",9
"planta_1258",0
"planta_1259",10
"planta_1260",0
"planta_1261",0
"planta_1262",1
"planta_1263",0
"planta_1264",0
"planta_1265",0
"planta_1266",0
"planta_1267",0
"planta_1268",0
"planta_1269",0
"planta_1270",0
"planta_1271",10
"planta_1272",0
"planta_1273",0
"planta_1274",0
"planta_1275",3
"planta_1276",0
"planta_1277",0
"planta_1278",1
"planta_1279",28
"planta_1280",0
"planta_1281",0
"planta_1282",0
"planta_1283",10
"planta_1284",0
"planta_1285",10
"planta_1286",0
"planta_1287",1
"planta_1288",0
"planta_1289",0
"planta_1290",0
"planta_1291",231
"planta_1292",0
"planta_1293",8
"planta_1294",10
"planta_1295",0
"planta_1296",0
"planta_1297",0
"planta_1298",12
"planta_1299",0
"planta_1300",0
"planta_1301",0
"planta_1302",1
"planta_1303",0
"planta_1304",0
"planta_1305",0
"planta_1306",0
"planta_1307",1
"planta_1308",48
"planta_1309",0
"planta_1310",0
"planta_1311",0
"planta_1312",3
"planta_1313",10
"planta_1314",0
"planta_1315",0
"planta_1316",0
"planta_1317",0
"planta_1318",0
"planta_1319",0
"planta_1320",0
"planta_1321",13
"planta_1322",0
"planta_1323",0
"planta_1324",29
"planta_1325",1
"planta_1326",0
"planta_1327",0
"planta_1328",102
"planta_1329",17
"planta_1330",0
"planta_1331",0
"planta_1332",19
"planta_1333",75
"planta_1334",66
"planta_1335",0
"planta_1336",1
"planta_1337",0
"planta_1338",0
"planta_1339",0
"planta_1340",0
"planta_1341",0
"planta_1342",0
"planta_1343",0
"planta_1344",0
"planta_1345",0
"planta_1346",0
"planta_1347",11
"planta_1348",3
"planta_1349",0
"planta_1350",0
"planta_1351",0
"planta_1352",0
"planta_1353",0
"planta_1354",2
"planta_1355",0
"planta_1356",10
"planta_1357",0
"planta_1358",1
"planta_1359",0
"planta_1360",0
"planta_1361",0
"planta_1362",0
"planta_1363",0
"planta_1364",26
"planta_1365",0
"planta_1366",0
"planta_1367",42
"planta_1368",0
"planta_1369",84
"planta_1370",0
"planta_1371",0
"planta_1372",6
"planta_1373",0
"planta_1374",14
"planta_1375",0
"planta_1376",0
"planta_1377",2
"planta_1378",0
"planta_1379",0
"planta_1380",0
"planta_1381",1
"planta_1382",0
"planta_1383",0
"planta_1384",19
"planta_1385",0
"planta_1386",0
"planta_1387",5
"planta_1388",2
"planta_1389",96
"planta_1390",0
"planta_1391",14
"planta_1392",29
"planta_1393",0
"planta_1394",1
"planta_1395",5
"planta_1396",8
"planta_1397",0
"planta_1398",0
"planta_1399",1
"planta_1400",0
"planta_1401",1
"planta_1402",0
"planta_1403",0
"planta_1404",0
"planta_1405",1
"planta_1406",0
"planta_1407",0
"planta_1408",21
"planta_1409",0
"planta_1410",0
"planta_1411",0
"planta_1412",131
"planta_1413",0
"planta_1414",0
"planta_1415",1
"planta_1416",0
"planta_1417",19
"planta_1418",0
"planta_1419",5
"planta_1420",0
"planta_1421",1
"planta_1422",0
"planta_1423",0
"planta_1424",20
"planta_1425",0
"planta_1426",0
"planta_1427",0
"planta_1428",0
"planta_1429",0
"planta_1430",3
"planta_1431",0
"planta_1432",0
"planta_1433",0
"planta_1434",0
"planta_1435",3
"planta_1436",62
"planta_1437",0
"planta_1438",0
"planta_1439",0
"planta_1440",1
"planta_1441",0
"planta_1442",1
"planta_1443",2
"planta_1444",0
"planta_1445",0
"planta_1446",0
"planta_1447",0
"planta_1448",0
"planta_1449",0
"planta_1450",7
"planta_1451",17
"planta_1452",0
"planta_1453",0
"planta_1454",33
"planta_1455",0
"planta_1456",6
"planta_1457",0
"planta_1458",10
"planta_1459",0
"planta_1460",0
"planta_1461",9
"planta_1462",0
"planta_1463",0
"planta_1464",12
"planta_1465",4
"planta_1466",23
"planta_1467",0
"planta_1468",23
"planta_1469",0
"planta_1470",2
"planta_1471",0
"planta_1472",6
"planta_1473",0
"planta_1474",15
"planta_1475",0
"planta_1476",0
"planta_1477",0
"planta_1478",0
"planta_1479",11
"planta_1480",0
"planta_1481",17
"planta_1482",0
"planta_1483",0
"planta_1484",0
"planta_1485",0
"planta_1486",0
"planta_1487",0
"planta_1488",0
"planta_1489",49
"planta_1490",0
"planta_1491",0
"planta_1492",0
"planta_1493",0
"planta_1494",0
"planta_1495",0
"planta_1496",0
"planta_1497",0
"planta_1498",0
"planta_1499",0
"planta_1500",0
"planta_1501",0
"planta_1502",35
"planta_1503",0
"planta_1504",0
"planta_1505",0
"planta_1506",9
"planta_1507",0
"planta_1508",0
"planta_1509",11
"planta_1510",0
"planta_1511",6
"planta_1512",14
"planta_1513",0
"planta_1514",0
"planta_1515",0
"planta_1516",0
"planta_1517",0
"planta_1518",11
"planta_1519",0
"planta_1520",0
"planta_1521",0
"planta_1522",2
"planta_1523",17
"planta_1524",0
"planta_1525",39
"planta_1526",0
"planta_1527",0
"planta_1528",0
"planta_1529",0
"planta_1530",0
"planta_1531",37
"planta_1532",1
"planta_1533",0
"planta_1534",0
"planta_1535",145
"planta_1536",0
"planta_1537",0
"planta_1538",0
"planta_1539",89
"planta_1540",32
"planta_1541",0
"planta_1542",10
"planta_1543",1
"planta_1544",0
"planta_1545",0
"planta_1546",0
"planta_1547",74
"planta_1548",0
"planta_1549",0
"planta_1550",7
"planta_1551",2
"planta_1552",0
"planta_1553",99
"planta_1554",13
"planta_1555",0
"planta_1556",0
"planta_1557",0
"planta_1558",0
"planta_1559",0
"planta_1560",1
"planta_1561",5
"planta_1562",0
"planta_1563",0
"planta_1564",0
"planta_1565",19
"planta_1566",0
"planta_1567",0
"planta_1568",0
"planta_1569",1
"planta_1570",0
"planta_1571",0
"planta_1572",0
"planta_1573",2
"planta_1574",9
"planta_1575",0
"planta_1576",0
"planta_1577",2
"planta_1578",11
"planta_1579",0
"planta_1580",1
"planta_1581",0
"planta_1582",1
"planta_1583",2
"planta_1584",44
"planta_1585",0
"planta_1586",0
"planta_1587",0
"planta_1588",0
"planta_1589",64
"planta_1590",0
"planta_1591",0
"planta_1592",0
"planta_1593",0
"planta_1594",0
"planta_1595",11
"planta_1596",0
"planta_1597",0
"planta_1598",0
"planta_1599",0
"planta_1600",0
"planta_1601",0
"planta_1602",0
"planta_1603",0
"planta_1604",2
"planta_1605",7
"planta_1606",1
"planta_1607",176
"planta_1608",1
"planta_1609",0
"planta_1610",0
"planta_1611",0
"planta_1612",0
"planta_1613",0
"planta_1614",1
"planta_1615",7
"planta_1616",0
"planta_1617",0
"planta_1618",0
"planta_1619",0
"planta_1620",11
"planta_1621",4
"planta_1622",1
"planta_1623",0
"planta_1624",1
"planta_1625",0
"planta_1626",0
"planta_1627",0
"planta_1628",0
"planta_1629",84
"planta_1630",0
"planta_1631",11
"planta_1632",0
"planta_1633",6
"planta_1634",0
"planta_1635",13
"planta_1636",16
"planta_1637",0
"planta_1638",0
"planta_1639",0
"planta_1640",0
"planta_1641",0
"planta_1642",0
"planta_1643",0
"planta_1644",1
"planta_1645",0
"planta_1646",0
"planta_1647",0
"planta_1648",20
"planta_1649",28
"planta_1650",6
"planta_1651",0
"planta_1652",0
"planta_1653",0
"planta_1654",0
"planta_1655",13
"planta_1656",6
"planta_1657",0
"planta_1658",50
"planta_1659",0
"planta_1660",0
"planta_1661",0
"planta_1662",0
"planta_1663",1
"planta_1664",27
